folder	disposition	rationale	image
pose-atlas-rebuild/2026-08-26/flux2-klein-identity28-train-agent-identity/output-step32-v1/diffusers-yaw045-step32	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/flux2-klein-identity28-train-agent-identity/output-step32-v1/diffusers-yaw045-step32/birefnet-offline/yaw+045-pitch+00.birefnet-preview.png
pose-atlas-rebuild/2026-08-26/flux2-klein-q4km-yaw+045-b00-plus-shaded3d-512x768	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-26/flux2-klein-q4km-yaw+045-b00-plus-shaded3d-512x768/birefnet-offline/yaw+045-pitch+00.birefnet-preview.png
pose-atlas-rebuild/2026-08-26/flux2-klein-q4km-yaw+045-b00-shaded3d-identity-step32-512x768	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/flux2-klein-q4km-yaw+045-b00-shaded3d-identity-step32-512x768/birefnet-offline/yaw+045-pitch+00.birefnet-preview.png
pose-atlas-rebuild/2026-08-26/flux2-klein-q4km-yaw+045-shaded3d-512x768	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-26/flux2-klein-q4km-yaw+045-shaded3d-512x768/birefnet-offline/yaw+045-pitch+00.birefnet-preview.png
pose-atlas-rebuild/2026-08-26/flux2-klein-step16-two-reference-yaw045-clean-v2-attempt1	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-26/flux2-klein-step16-two-reference-yaw045-clean-v2-attempt1/yaw+045-pitch+00-step16-two-reference-filmgrain-final-candidate.png
pose-atlas-rebuild/2026-08-26/flux2-klein-step16-yaw045-inpaint-effective-v2	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-26/flux2-klein-step16-yaw045-inpaint-effective-v2/yaw+045-pitch+00-step16-two-reference-filmgrain-final-candidate.png
pose-atlas-rebuild/2026-08-26/identity-checkpoint-idle-front-step16-proof-agent-b	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/identity-checkpoint-idle-front-step16-proof-agent-b/step16_idle_front_validation.png
pose-atlas-rebuild/2026-08-26/identity-checkpoint-idle-front-step24-48-agent-b	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/identity-checkpoint-idle-front-step24-48-agent-b/identity-checkpoint-idle-front-contact.jpg
pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare-v2/step32	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare-v2/step32/yaw+000-pitch+00_composed-staging.png
pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare-v2/step48	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare-v2/step48/yaw+000-pitch+00_composed-staging.png
pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare-v2/step64	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare-v2/step64/yaw+000-pitch+00_composed-staging.png
pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare.quarantine-lineage-changed-REJECTED/step32	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare.quarantine-lineage-changed-REJECTED/step32/yaw+000-pitch+00_composed-staging.png
pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare.quarantine-lineage-changed-REJECTED/step48	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare.quarantine-lineage-changed-REJECTED/step48/yaw+000-pitch+00_composed-staging.png
pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare.quarantine-lineage-changed-REJECTED/step64	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/identity-step32-48-64-yaw000-compare.quarantine-lineage-changed-REJECTED/step64/yaw+000-pitch+00_composed-staging.png
pose-atlas-rebuild/2026-08-26/identity-v3-distinct12-source-selection-agent-b	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/identity-v3-distinct12-source-selection-agent-b/v3-distinct12-source-contact.png
pose-atlas-rebuild/2026-08-26/mhr-segment-overlay-local-axis-agent-b	LIVE_GEOMETRY_CONTRACT	幾何控制契約；正是現行產線的上游	pose-atlas-rebuild/2026-08-26/mhr-segment-overlay-local-axis-agent-b/five-segment-overlay-contact.png
pose-atlas-rebuild/2026-08-26/mohan-identity-v3-diverse12-candidate-agent-c	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/mohan-identity-v3-diverse12-candidate-agent-c/v3-diverse12-owner-review-contact.png
pose-atlas-rebuild/2026-08-26/mohan-identity-v3-diverse28-candidate-agent-c	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/mohan-identity-v3-diverse28-candidate-agent-c/v3-diverse28-owner-review-contact.png
pose-atlas-rebuild/2026-08-26/mohan-identity-v3-diverse28-candidate-agent-c/canonical-yaw000-step16-attempt4	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/mohan-identity-v3-diverse28-candidate-agent-c/canonical-yaw000-step16-attempt4/yaw+000-pitch+00_composed-staging.png
pose-atlas-rebuild/2026-08-26/mohan-identity-v3-diverse28-candidate-agent-c/identity-rank8-512-weighted64-output-v2/checkpoint-step000016	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/mohan-identity-v3-diverse28-candidate-agent-c/identity-rank8-512-weighted64-output-v2/checkpoint-step000016/owner-review-fixed-seed/yaw+090-pitch+00.png
pose-atlas-rebuild/2026-08-26/mohan-identity-v3-diverse28-candidate-agent-c/identity-rank8-512-weighted64-output-v2/checkpoint-step000016/owner-review-fixed-seed	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-26/mohan-identity-v3-diverse28-candidate-agent-c/identity-rank8-512-weighted64-output-v2/checkpoint-step000016/owner-review-fixed-seed/yaw+090-pitch+00.png
pose-atlas-rebuild/2026-08-26/seq01-02-exact-bound-two-image-lora-smoke-agent-d/dataset	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-26/seq01-02-exact-bound-two-image-lora-smoke-agent-d/dataset/seq01-loss-mask-alpha-intersection.png
pose-atlas-rebuild/2026-08-26/yaw000-owner-identity-only-review-agent-b	SUPERSEDED_BY_LORA_V2	flux 候選的身份審查（KNOWN_IDENTITY_FAIL）；身份路線已移至 LoRA v2/v3	pose-atlas-rebuild/2026-08-26/yaw000-owner-identity-only-review-agent-b/yaw000-owner-identity-review-contact.png
pose-atlas-rebuild/2026-08-26/yaw015-owner-identity-only-review-agent-b	SUPERSEDED_BY_LORA_V2	同 yaw000 身份審查（HOLD）；身份路線已移至 LoRA v2/v3	pose-atlas-rebuild/2026-08-26/yaw015-owner-identity-only-review-agent-b/yaw015-owner-identity-contact.png
pose-atlas-rebuild/2026-08-26/yaw015-yaw075-adjacent-imagegen-agent-d	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-26/yaw015-yaw075-adjacent-imagegen-agent-d/yaw+015-pitch+00.candidate-v12.imagegen-raw.png
pose-atlas-rebuild/2026-08-26/yaw030-yaw060-adjacent-imagegen-agent-d	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-26/yaw030-yaw060-adjacent-imagegen-agent-d/yaw+060-pitch+00.candidate-v11.imagegen-raw.png
pose-atlas-rebuild/2026-08-26/yaw045-face-neck-stage1-contract-agent-b	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	pose-atlas-rebuild/2026-08-26/yaw045-face-neck-stage1-contract-agent-b/control-source-contact-sheet.png
pose-atlas-rebuild/2026-08-26/yaw045-final-face-composite-agent-identity-v1	SUPERSEDED_BY_CHROMA_PIPELINE	舊臉部貼合路線的定位證據；此路線的結構性缺陷（頭部角度不吻合）2026-08-31 由擁有者再次否決	pose-atlas-rebuild/2026-08-26/yaw045-final-face-composite-agent-identity-v1/yaw+045-pitch+00-final-face-composited-rgba.png
pose-atlas-rebuild/2026-08-26/yaw045-final-face-patch-agent-identity-v1	SUPERSEDED_BY_CHROMA_PIPELINE	舊臉部貼片 v1（OWNER_VISUAL_PENDING 未結案）；貼合路線已否決	pose-atlas-rebuild/2026-08-26/yaw045-final-face-patch-agent-identity-v1/yaw+045-pitch+00-mohan-face-patch-alpha-contact.png
pose-atlas-rebuild/2026-08-26/yaw045-final-face-patch-agent-identity-v2	SUPERSEDED_BY_CHROMA_PIPELINE	舊臉部貼片 v2（OWNER_VISUAL_PENDING 未結案）；貼合路線已否決	pose-atlas-rebuild/2026-08-26/yaw045-final-face-patch-agent-identity-v2/yaw+045-pitch+00-mohan-face-patch-alpha-contact.png
pose-atlas-rebuild/2026-08-26/yaw045-flux-soft-img2img-exploration-contract-agent-b/quarantine-white-composite-input	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-26/yaw045-flux-soft-img2img-exploration-contract-agent-b/quarantine-white-composite-input/yaw+045-pitch+00.candidate-v3.white-composite-rgb.png
pose-atlas-rebuild/2026-08-26/yaw045-new-candidate-imagegen-agent-d	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-26/yaw045-new-candidate-imagegen-agent-d/yaw+045-pitch+00.candidate-v10.imagegen-raw.png
pose-atlas-rebuild/2026-08-26/yaw045-stage1-shared-yaw-control-contract-agent-b	LIVE_GEOMETRY_CONTRACT	幾何控制契約；正是現行產線的上游	pose-atlas-rebuild/2026-08-26/yaw045-stage1-shared-yaw-control-contract-agent-b/control-requirements-contact.png
pose-atlas-rebuild/2026-08-26/yaw045-v10-25-layer-semantic-staging-agent-c	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-26/yaw045-v10-25-layer-semantic-staging-agent-c/yaw+045-pitch+00.recomposed.png
pose-atlas-rebuild/2026-08-26/yaw045-v10-dlc-ownership-agent-c	LIVE_DLC_STRUCTURE	DLC 的解剖／服裝分離結構；套用到新的 24 視角仍需要	pose-atlas-rebuild/2026-08-26/yaw045-v10-dlc-ownership-agent-c/yaw+045-pitch+00_anatomy-plus-outfit.png
pose-atlas-rebuild/2026-08-26/yaw045-v4-nongenerative-geometry-requirements-agent-b	LIVE_GEOMETRY_CONTRACT	幾何控制契約；正是現行產線的上游	pose-atlas-rebuild/2026-08-26/yaw045-v4-nongenerative-geometry-requirements-agent-b/candidate-v4-before-target-overlay.png
pose-atlas-rebuild/2026-08-26/yaw060-v11-25-layer-semantic-staging-agent-c	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-26/yaw060-v11-25-layer-semantic-staging-agent-c/yaw+060-pitch+00.recomposed.png
pose-atlas-rebuild/2026-08-26/yaw090-flux-img2img-lora-3d-agent-d/inference-output	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-26/yaw090-flux-img2img-lora-3d-agent-d/inference-output/yaw+090-pitch+00.flux-img2img-owner12-lora-3d-s0.55.png
pose-atlas-rebuild/2026-08-26/yaw090-flux-img2img-lora-3d-agent-d/inference-output-s090	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-26/yaw090-flux-img2img-lora-3d-agent-d/inference-output-s090/yaw+090-pitch+00.flux-img2img-owner12-lora-3d-s0.90.birefnet-preview.png
pose-atlas-rebuild/2026-08-25/candidate-status-registry-agent-c	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/candidate3-body-skin-readiness-agent-a	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/flux-formal-single-step-orchestrator-agent-a	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	
pose-atlas-rebuild/2026-08-25/flux-nf4-cached-single-step-agent-a	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	
pose-atlas-rebuild/2026-08-25/flux-nf4-cached-single-step-agent-a/official-hardware-probe-output	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	
pose-atlas-rebuild/2026-08-25/flux-nf4-cached-single-step-agent-a/official-hardware-probe-save-on-cpu-output	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	
pose-atlas-rebuild/2026-08-25/flux-offline-cache-preflight-agent-a/current-validation	SUPERSEDED_BY_CHROMA_PIPELINE	flux 離線快取預檢（FAIL_CLOSED）；flux 產線整條退役	
pose-atlas-rebuild/2026-08-25/flux-schnell-commercial-compatibility-agent-a	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-minimum-segment-main/formal-segment-output	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-minimum-segment-main/formal-segment-output/checkpoint-step000003	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-minimum-segment-main/formal-segment-output/checkpoint-step000004	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main/formal-step5-8-output-attempt-2	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main/formal-step5-8-output-attempt-2/checkpoint-step000005	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main/formal-step5-8-output-attempt-2/checkpoint-step000006	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main/formal-step5-8-output-attempt-2/checkpoint-step000007	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main/formal-step5-8-output-attempt-2/checkpoint-step000008	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main/resume-step4-view	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main/resume-step4-view-attempt-2	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step9-12-main/resume-step8-view	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-two-step-smoke-main	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-two-step-smoke-main/gpu-smoke-output	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/flux-v4-seven-source-cache-envelope-agent-b	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	
pose-atlas-rebuild/2026-08-25/identity-garment-separation-audit-agent-b	SUPERSEDED_BY_LORA_V2	身份/服裝解綁稽核（FAIL）；其教訓已制度化為 v3 caption 政策（五官不入 caption、髮型服裝必入）	
pose-atlas-rebuild/2026-08-25/lora-seq01-02-overfit-smoke-preflight-main	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/lora-smoke-local-supply-chain-preflight-main	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/mohan-face-only-identity-training-v3-staging-agent-b/attempt-1-qa-bug	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	
pose-atlas-rebuild/2026-08-25/seq01-02-face-core-hole-minimal-repair-main/candidate-package/owner-input	SUPERSEDED_BY_LORA_V2	臉部遮罩路線；identity 已改由 LoRA v2 承擔	
pose-atlas-rebuild/2026-08-25/seq01-02-lora-smoke-binding-preflight-main/owner-input	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-25/seq01-02-owner-mask-caption-binding-production-main/owner-input	LIVE_OWNER_RULING_RECORD	擁有者最終美術裁決與綁定 SHA256；裁決紀錄不隨管線世代作廢	
pose-atlas-rebuild/2026-08-25/seq01-02-owner-review-polygon-annotation-pack-main/annotation-templates	SUPERSEDED_BY_LORA_V2	多邊形標註模板；所屬 seq01-02 流程已被 v2/v3 資料集取代	
pose-atlas-rebuild/2026-08-25/yaw045-lora-ab-visual-qa-framework-agent-b	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-26/formal-24-view-evidence-coverage-matrix-agent-b	LIVE_OWNER_RULING_RECORD	「無任何候選具正式資格」的真相邊界紀錄（HOLD_NO_FORMAL_VIEW_ADMITTED）；防止舊候選被誤晉升，至今仍為真	
pose-atlas-rebuild/2026-08-26/lora-dataset-gate-agent-d	SUPERSEDED_BY_LORA_V2	LoRA 資料集唯讀閘門稽核；稽核對象已被 v3 資料集取代	
pose-atlas-rebuild/2026-08-26/seq01-02-exact-bound-two-image-lora-smoke-agent-d/training-output	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
pose-atlas-rebuild/2026-08-26/yaw045-candidate-v3-remake-input-spec-agent-b	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	
